BE	area	va		hourly
	VARIABLES	BEGIN	END
	4	1	168

BE	hourly			MRG. PRICE	LOAD	LOLD	UNSP. ENRG
		index	hour	Euro/MWh	MWh	Hours	MWh
BE		1	00:00	60.10	4004.80	0.00	0.00
BE		2	01:00	59.99	3999.50	0.00	0.00
BE		3	02:00	52.45	3622.40	0.00	0.00
BE		4	03:00	58.28	3913.90	0.00	0.00
BE		5	04:00	54.87	3743.60	0.00	0.00
BE		6	05:00	51.64	3582.00	0.00	0.00
BE		7	06:00	51.25	3562.60	0.00	0.00
BE		8	07:00	53.07	3653.50	0.00	0.00
BE		9	08:00	52.70	3634.90	0.00	0.00
BE		10	09:00	54.39	3719.30	0.00	0.00
BE		11	10:00	58.73	3936.40	0.00	0.00
BE		12	11:00	60.65	4032.30	0.00	0.00
BE		13	12:00	61.85	4092.30	0.00	0.00
BE		14	13:00	64.38	4219.10	0.00	0.00
BE		15	14:00	67.39	4369.30	0.00	0.00
BE		16	15:00	67.60	4379.80	0.00	0.00
BE		17	16:00	69.69	4484.50	0.00	0.00
BE		18	17:00	72.97	4648.70	0.00	0.00
BE		19	18:00	71.69	4584.30	0.00	0.00
BE		20	19:00	68.36	4417.90	0.00	0.00
BE		21	20:00	69.51	4475.60	0.00	0.00
BE		22	21:00	70.64	4532.20	0.00	0.00
BE		23	22:00	66.44	4322.00	0.00	0.00
BE		24	23:00	64.23	4211.40	0.00	0.00
BE		25	00:00	63.54	4176.90	0.00	0.00
BE		26	01:00	63.79	4189.40	0.00	0.00
BE		27	02:00	55.29	3764.30	0.00	0.00
BE		28	03:00	58.16	3908.10	0.00	0.00
BE		29	04:00	50.38	3519.20	0.00	0.00
BE		30	05:00	52.76	3637.80	0.00	0.00
BE		31	06:00	49.19	3459.40	0.00	0.00
BE		32	07:00	55.58	3779.00	0.00	0.00
BE		33	08:00	55.34	3766.80	0.00	0.00
BE		34	09:00	57.65	3882.70	0.00	0.00
BE		35	10:00	54.87	3743.50	0.00	0.00
BE		36	11:00	61.05	4052.50	0.00	0.00
BE		37	12:00	60.75	4037.40	0.00	0.00
BE		38	13:00	63.48	4174.20	0.00	0.00
BE		39	14:00	68.21	4410.50	0.00	0.00
BE		40	15:00	71.17	4558.40	0.00	0.00
BE		41	16:00	71.14	4557.20	0.00	0.00
BE		42	17:00	70.14	4507.20	0.00	0.00
BE		43	18:00	70.01	4500.50	0.00	0.00
BE		44	19:00	75.12	4755.90	0.00	0.00
BE		45	20:00	72.08	4603.80	0.00	0.00
BE		46	21:00	70.79	4539.50	0.00	0.00
BE		47	22:00	72.23	4611.50	0.00	0.00
BE		48	23:00	62.62	4131.00	0.00	0.00
BE		49	00:00	68.13	4406.60	0.00	0.00
BE		50	01:00	66.96	4348.10	0.00	0.00
BE		51	02:00	60.87	4043.60	0.00	0.00
BE		52	03:00	56.90	3845.10	0.00	0.00
BE		53	04:00	51.73	3586.70	0.00	0.00
BE		54	05:00	54.71	3735.70	0.00	0.00
BE		55	06:00	50.92	3546.20	0.00	0.00
BE		56	07:00	52.27	3613.70	0.00	0.00
BE		57	08:00	52.63	3631.40	0.00	0.00
BE		58	09:00	55.60	3779.80	0.00	0.00
BE		59	10:00	60.08	4003.80	0.00	0.00
BE		60	11:00	58.06	3903.10	0.00	0.00
BE		61	12:00	59.62	3980.90	0.00	0.00
BE		62	13:00	62.16	4108.20	0.00	0.00
BE		63	14:00	64.66	4232.90	0.00	0.00
BE		64	15:00	65.62	4280.90	0.00	0.00
BE		65	16:00	68.45	4422.50	0.00	0.00
BE		66	17:00	74.74	4737.20	0.00	0.00
BE		67	18:00	70.56	4527.80	0.00	0.00
BE		68	19:00	72.26	4612.80	0.00	0.00
BE		69	20:00	67.72	4385.90	0.00	0.00
BE		70	21:00	69.46	4472.80	0.00	0.00
BE		71	22:00	62.80	4140.00	0.00	0.00
BE		72	23:00	62.89	4144.40	0.00	0.00
BE		73	00:00	67.39	4369.30	0.00	0.00
BE		74	01:00	57.99	3899.40	0.00	0.00
BE		75	02:00	59.66	3983.10	0.00	0.00
BE		76	03:00	56.00	3799.80	0.00	0.00
BE		77	04:00	52.95	3647.30	0.00	0.00
BE		78	05:00	50.75	3537.40	0.00	0.00
BE		79	06:00	55.06	3753.00	0.00	0.00
BE		80	07:00	51.89	3594.30	0.00	0.00
BE		81	08:00	56.98	3848.80	0.00	0.00
BE		82	09:00	53.17	3658.60	0.00	0.00
BE		83	10:00	57.11	3855.30	0.00	0.00
BE		84	11:00	60.50	4024.90	0.00	0.00
BE		85	12:00	62.86	4143.10	0.00	0.00
BE		86	13:00	61.59	4079.70	0.00	0.00
BE		87	14:00	65.37	4268.60	0.00	0.00
BE		88	15:00	68.57	4428.30	0.00	0.00
BE		89	16:00	68.58	4428.80	0.00	0.00
BE		90	17:00	73.25	4662.40	0.00	0.00
BE		91	18:00	73.37	4668.70	0.00	0.00
BE		92	19:00	66.92	4346.20	0.00	0.00
BE		93	20:00	66.29	4314.40	0.00	0.00
BE		94	21:00	65.96	4297.80	0.00	0.00
BE		95	22:00	67.24	4362.00	0.00	0.00
BE		96	23:00	69.43	4471.30	0.00	0.00
BE		97	00:00	61.04	4052.00	0.00	0.00
BE		98	01:00	59.97	3998.50	0.00	0.00
BE		99	02:00	54.40	3720.20	0.00	0.00
BE		100	03:00	52.37	3618.60	0.00	0.00
BE		101	04:00	48.60	3429.80	0.00	0.00
BE		102	05:00	52.23	3611.30	0.00	0.00
BE		103	06:00	54.23	3711.30	0.00	0.00
BE		104	07:00	51.44	3571.80	0.00	0.00
BE		105	08:00	56.64	3832.10	0.00	0.00
BE		106	09:00	55.35	3767.60	0.00	0.00
BE		107	10:00	56.86	3843.00	0.00	0.00
BE		108	11:00	60.60	4030.00	0.00	0.00
BE		109	12:00	63.12	4155.80	0.00	0.00
BE		110	13:00	67.29	4364.40	0.00	0.00
BE		111	14:00	65.02	4251.00	0.00	0.00
BE		112	15:00	63.52	4176.10	0.00	0.00
BE		113	16:00	70.88	4543.90	0.00	0.00
BE		114	17:00	70.13	4506.60	0.00	0.00
BE		115	18:00	71.87	4593.70	0.00	0.00
BE		116	19:00	75.59	4779.60	0.00	0.00
BE		117	20:00	67.95	4397.60	0.00	0.00
BE		118	21:00	70.84	4542.20	0.00	0.00
BE		119	22:00	69.21	4460.30	0.00	0.00
BE		120	23:00	65.63	4281.40	0.00	0.00
BE		121	00:00	64.62	4230.90	0.00	0.00
BE		122	01:00	58.24	3912.20	0.00	0.00
BE		123	02:00	55.30	3764.80	0.00	0.00
BE		124	03:00	57.35	3867.60	0.00	0.00
BE		125	04:00	55.00	3749.90	0.00	0.00
BE		126	05:00	55.61	3780.30	0.00	0.00
BE		127	06:00	52.44	3621.80	0.00	0.00
BE		128	07:00	56.16	3808.10	0.00	0.00
BE		129	08:00	52.59	3629.30	0.00	0.00
BE		130	09:00	52.31	3615.40	0.00	0.00
BE		131	10:00	52.03	3601.60	0.00	0.00
BE		132	11:00	56.69	3834.50	0.00	0.00
BE		133	12:00	63.88	4194.20	0.00	0.00
BE		134	13:00	60.99	4049.50	0.00	0.00
BE		135	14:00	65.83	4291.60	0.00	0.00
BE		136	15:00	74.04	4702.10	0.00	0.00
BE		137	16:00	72.61	4630.30	0.00	0.00
BE		138	17:00	75.87	4793.50	0.00	0.00
BE		139	18:00	69.53	4476.60	0.00	0.00
BE		140	19:00	65.67	4283.30	0.00	0.00
BE		141	20:00	74.21	4710.40	0.00	0.00
BE		142	21:00	65.58	4278.90	0.00	0.00
BE		143	22:00	67.12	4356.20	0.00	0.00
BE		144	23:00	65.01	4250.70	0.00	0.00
BE		145	00:00	59.63	3981.30	0.00	0.00
BE		146	01:00	63.04	4152.00	0.00	0.00
BE		147	02:00	60.62	4031.00	0.00	0.00
BE		148	03:00	56.15	3807.60	0.00	0.00
BE		149	04:00	53.17	3658.40	0.00	0.00
BE		150	05:00	52.70	3634.90	0.00	0.00
BE		151	06:00	49.27	3463.30	0.00	0.00
BE		152	07:00	51.66	3583.10	0.00	0.00
BE		153	08:00	52.98	3649.10	0.00	0.00
BE		154	09:00	52.78	3638.80	0.00	0.00
BE		155	10:00	58.93	3946.40	0.00	0.00
BE		156	11:00	55.88	3793.90	0.00	0.00
BE		157	12:00	60.80	4040.00	0.00	0.00
BE		158	13:00	59.07	3953.40	0.00	0.00
BE		159	14:00	68.08	4403.80	0.00	0.00
BE		160	15:00	70.74	4536.80	0.00	0.00
BE		161	16:00	72.03	4601.60	0.00	0.00
BE		162	17:00	78.54	4927.10	0.00	0.00
BE		163	18:00	74.13	4706.70	0.00	0.00
BE		164	19:00	69.28	4463.80	0.00	0.00
BE		165	20:00	76.93	4846.40	0.00	0.00
BE		166	21:00	66.74	4336.80	0.00	0.00
BE		167	22:00	68.77	4438.30	0.00	0.00
BE		168	23:00	66.24	4312.10	0.00	0.00
