date,hour,price_eur_mwh
2026-04-21,1,86.65
2026-04-21,1,90.64
2026-04-21,2,88.38
2026-04-21,2,89.03
2026-04-21,3,83.2
2026-04-21,3,93.99
2026-04-21,4,78.46
2026-04-21,4,90.66
2026-04-21,5,95.38
2026-04-21,5,92.8
2026-04-21,6,90.2
2026-04-21,6,93.3
2026-04-21,7,100.0
2026-04-21,7,89.23
2026-04-21,8,91.84
2026-04-21,8,90.91
2026-04-21,9,89.62
2026-04-21,9,100.0
2026-04-21,10,90.0
2026-04-21,11,91.77
2026-04-21,11,94.75
2026-04-21,12,90.82
2026-04-21,12,84.0
2026-04-21,13,91.26
2026-04-21,13,88.7
2026-04-21,14,90.0
2026-04-21,14,88.65
2026-04-21,15,92.45
2026-04-21,15,98.4
2026-04-21,16,109.54
2026-04-21,16,98.49
2026-04-21,17,90.0
2026-04-21,17,88.42
2026-04-21,18,98.77
2026-04-21,18,82.73
2026-04-21,19,93.26
2026-04-21,19,83.19
2026-04-21,20,100.0
2026-04-21,20,88.21
2026-04-21,21,78.19
2026-04-21,21,81.32
2026-04-21,22,80.79
2026-04-21,22,88.9
2026-04-21,23,85.75
2026-04-21,23,94.92
2026-04-21,24,90.62
2026-04-21,24,106.77
2026-04-21,25,94.83
2026-04-21,25,101.24
2026-04-21,26,106.0
2026-04-21,26,108.45
2026-04-21,27,108.68
2026-04-21,27,128.83
2026-04-21,28,119.75
2026-04-21,28,115.77
2026-04-21,29,141.0
2026-04-21,29,172.0
2026-04-21,30,135.78
2026-04-21,30,158.32
2026-04-21,31,128.53
2026-04-21,31,139.03
2026-04-21,32,123.51
2026-04-21,32,121.69
2026-04-21,33,150.03
2026-04-21,33,138.52
2026-04-21,34,133.22
2026-04-21,34,149.72
2026-04-21,35,124.56
2026-04-21,35,127.14
2026-04-21,36,103.69
2026-04-21,36,79.82
2026-04-21,37,145.0
2026-04-21,37,154.89
2026-04-21,38,120.43
2026-04-21,38,109.04
2026-04-21,39,92.06
2026-04-21,39,80.93
2026-04-21,40,46.97
2026-04-21,40,55.15
2026-04-21,41,76.09
2026-04-21,41,48.53
2026-04-21,42,62.1
2026-04-21,42,13.73
2026-04-21,43,41.96
2026-04-21,43,0.72
2026-04-21,44,13.91
2026-04-21,44,-0.87
2026-04-21,45,33.16
2026-04-21,45,0.0
2026-04-21,46,19.47
2026-04-21,46,-0.47
2026-04-21,47,9.98
2026-04-21,47,-0.55
2026-04-21,48,2.45
2026-04-21,48,-3.03
2026-04-21,49,9.33
2026-04-21,49,-1.42
2026-04-21,50,2.77
2026-04-21,50,-3.87
2026-04-21,51,1.33
2026-04-21,51,-5.94
2026-04-21,52,0.95
2026-04-21,52,-10.6
2026-04-21,53,-0.01
2026-04-21,53,-11.65
2026-04-21,54,-0.05
2026-04-21,54,-16.94
2026-04-21,55,-0.11
2026-04-21,55,-23.16
2026-04-21,56,-23.76
2026-04-21,57,-0.1
2026-04-21,57,-26.32
2026-04-21,58,-20.63
2026-04-21,59,-0.11
2026-04-21,59,-14.0
2026-04-21,60,-9.64
2026-04-21,61,-9.01
2026-04-21,62,-4.46
2026-04-21,63,0.77
2026-04-21,63,-1.83
2026-04-21,64,-1.08
2026-04-21,65,1.15
2026-04-21,65,-1.21
2026-04-21,66,2.09
2026-04-21,66,-0.86
2026-04-21,67,7.26
2026-04-21,67,0.88
2026-04-21,68,33.83
2026-04-21,68,3.75
2026-04-21,69,20.75
2026-04-21,69,4.16
2026-04-21,70,45.76
2026-04-21,70,22.6
2026-04-21,71,64.28
2026-04-21,71,61.66
2026-04-21,72,77.58
2026-04-21,72,84.57
2026-04-21,73,61.69
2026-04-21,73,56.17
2026-04-21,74,71.82
2026-04-21,74,72.37
2026-04-21,75,110.0
2026-04-21,75,91.23
2026-04-21,76,132.18
2026-04-21,76,104.52
2026-04-21,77,89.16
2026-04-21,77,91.27
2026-04-21,78,113.16
2026-04-21,78,122.11
2026-04-21,79,116.0
2026-04-21,79,110.12
2026-04-21,80,130.0
2026-04-21,80,136.49
2026-04-21,81,125.54
2026-04-21,81,112.87
2026-04-21,82,119.05
2026-04-21,82,113.85
2026-04-21,83,117.46
2026-04-21,83,116.86
2026-04-21,84,117.17
2026-04-21,84,137.97
2026-04-21,85,120.0
2026-04-21,85,122.74
2026-04-21,86,105.86
2026-04-21,87,115.93
2026-04-21,87,101.86
2026-04-21,88,122.72
2026-04-21,88,109.55
2026-04-21,89,116.0
2026-04-21,89,104.79
2026-04-21,90,116.83
2026-04-21,91,118.07
