date,entsoe_avg_price,entsoe_min,entsoe_max,model_mcp,price_diff,price_diff_pct,total_gen_mw,traded_mw,social_welfare,energy_balance_ok,supply_constraint_ok,demand_constraint_ok,all_ok
2026-04-21,73.72,-26.32,172.0,30.0,-43.72,-59.3,6779.1,4494.4,458453.84,True,True,True,True
2026-04-22,65.72,-56.58,172.0,8.0,-57.72,-87.8,8238.5,5434.8,549990.2,True,True,True,True
2026-04-23,70.43,-56.58,225.64,30.0,-40.43,-57.4,7331.3,4836.4,529449.11,True,True,True,True
2026-04-24,54.15,-200.83,225.64,60.0,5.85,10.8,7149.7,4766.4,473329.34,True,True,True,True
2026-04-25,22.15,-479.27,216.3,45.0,22.85,103.2,5810.5,3833.2,385177.5,True,True,True,True
2026-04-26,56.07,-479.27,237.75,45.0,-11.07,-19.7,6889.4,4593.0,574363.75,True,True,True,True
2026-04-27,79.28,-34.36,237.75,60.0,-19.28,-24.3,6776.1,4493.6,475653.36,True,True,True,True
2026-04-28,56.32,-64.16,147.52,8.0,-48.32,-85.8,8764.8,5782.0,513635.62,True,True,True,True
2026-04-29,54.33,-64.16,176.3,8.0,-46.33,-85.3,9821.3,6479.0,573774.52,True,True,True,True
2026-04-30,30.99,-499.29,235.89,8.0,-22.99,-74.2,9050.1,6001.6,556485.11,True,True,True,True
2026-05-01,36.55,-499.29,252.6,30.0,-6.55,-17.9,7329.1,4860.4,519263.37,True,True,True,True
2026-05-02,76.97,-123.09,252.6,60.0,-16.97,-22.0,6021.2,4014.2,445551.7,True,True,True,True
2026-05-03,104.6,0.03,209.2,70.0,-34.6,-33.1,4826.0,3217.4,323876.63,True,True,True,True
2026-05-04,121.86,81.52,209.2,90.0,-31.86,-26.1,6422.9,6363.6,490525.69,True,True,True,True
2026-05-05,121.02,87.65,170.64,90.0,-31.02,-25.6,6181.0,6116.2,470869.46,True,True,True,True
2026-05-06,123.44,79.65,217.02,90.0,-33.44,-27.1,6545.2,6475.2,517084.83,True,True,True,True
2026-05-07,114.44,44.24,217.02,70.0,-44.44,-38.8,7374.2,6738.1,478386.08,True,True,True,True
2026-05-08,94.85,-0.1,150.0,70.0,-24.85,-26.2,6804.1,4511.4,428760.02,True,True,True,True
2026-05-09,75.85,-0.82,147.01,50.0,-25.85,-34.1,6802.1,4534.8,470269.38,True,True,True,True
2026-05-10,87.68,-0.82,218.87,30.0,-57.68,-65.8,7467.4,5500.8,554789.98,True,True,True,True
2026-05-11,99.33,22.19,218.87,60.0,-39.33,-39.6,6684.7,5030.8,501950.35,True,True,True,True
2026-05-12,94.68,22.19,161.16,50.0,-44.68,-47.2,6500.5,4389.2,459912.29,True,True,True,True
2026-05-13,91.33,3.01,191.1,70.0,-21.33,-23.4,6715.1,4476.8,447703.13,True,True,True,True
2026-05-16,80.61,-0.87,157.42,50.0,-30.61,-38.0,5963.1,3953.8,429957.79,True,True,True,True
2026-05-17,110.16,0.0,237.25,60.0,-50.16,-45.5,5044.0,3344.6,425631.04,True,True,True,True
2026-05-18,122.27,51.88,237.25,70.0,-52.27,-42.7,6165.8,5598.7,552336.13,True,True,True,True
2026-05-19,101.85,12.93,176.63,50.0,-51.85,-50.9,5989.7,4173.1,475361.12,True,True,True,True
2026-05-20,100.17,3.36,215.22,30.0,-70.17,-70.1,6901.8,5348.3,599272.0,True,True,True,True
